name,date,measure,trump_position,vote,agreement_likelihood,plus_minus
Patrick J. Toomey,Jan. 12,Budget resolution to repeal the Affordable Care Act (51-48),support,Yes,0.388,0.612
Ron Johnson,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.897,0.103
Ron Johnson,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.388,0.612
Ron Johnson,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.373,0.627
Ron Johnson,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.588,0.412
Ron Johnson,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.388,0.612
Ron Johnson,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.375,0.625
Ron Johnson,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.654,0.346
Ron Johnson,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.525,0.475
Ron Johnson,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.781,0.219
Ron Johnson,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.749,0.251
Ron Johnson,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,Yes,0.378,0.622
Ron Johnson,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.38,0.62
Ron Johnson,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.474,0.526
Ron Johnson,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.883,0.117
Ron Johnson,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
Ron Johnson,Feb. 13,Nomination of Steven T. Mnuchin to be secretary of the treasury (53-47),support,Yes,0.398,0.602
Ron Johnson,Feb. 10,Nomination of Tom Price to be secretary of health and human services (52-47),support,Yes,0.406,0.594
Ron Johnson,Feb. 8,Nomination of Jeff Sessions to be attorney general (52-47),support,Yes,0.398,0.602
Ron Johnson,Feb. 7,Nomination of Betsy DeVos to be secretary of education (51-50),support,Yes,0.364,0.636
Ron Johnson,Feb. 3,Repeal of a rule requiring energy companies to disclose payments to foreign governments (52-47),support,Yes,0.397,0.603
Ron Johnson,Feb. 2,Repeal of the stream protection rule (54-45),support,Yes,0.411,0.589
Ron Johnson,Feb. 1,Nomination of Rex W. Tillerson to be secretary of state (56-43),support,Yes,0.458,0.542
Ron Johnson,Jan. 31,Nomination of Elaine L. Chao to be secretary of transportation (93-6),support,Yes,0.983,0.017
Ron Johnson,Jan. 24,Nomination of Nikki R. Haley to be ambassador to the United Nations (96-4),support,Yes,0.971,0.029
Ron Johnson,Jan. 23,Nomination of Mike Pompeo to be director of the CIA (66-32),support,Yes,0.658,0.342
Ron Johnson,Jan. 20,Nomination of John F. Kelly to be secretary of homeland security (88-11),support,Yes,0.931,0.069
Ron Johnson,Jan. 20,Nomination of James Mattis to be secretary of defense (98-1),support,Yes,0.998,0.002
Ron Johnson,Jan. 12,Waiver allowing James Mattis to become secretary of defense (81-17),support,Yes,0.87,0.13
Ron Johnson,Jan. 12,Budget resolution to repeal the Affordable Care Act (51-48),support,Yes,0.389,0.611
Marco Rubio,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.899,0.101
Marco Rubio,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.398,0.602
Marco Rubio,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.383,0.617
Marco Rubio,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.617,0.383
Marco Rubio,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.398,0.602
Marco Rubio,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.385,0.615
Marco Rubio,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.673,0.327
Marco Rubio,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.546,0.454
Marco Rubio,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.795,0.205
Marco Rubio,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.757,0.243
Marco Rubio,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,Yes,0.396,0.604
Marco Rubio,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.39,0.61
Marco Rubio,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.495,0.505
Marco Rubio,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.888,0.112
Marco Rubio,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
Marco Rubio,Feb. 13,Nomination of Steven T. Mnuchin to be secretary of the treasury (53-47),support,Yes,0.411,0.589
Marco Rubio,Feb. 10,Nomination of Tom Price to be secretary of health and human services (52-47),support,Yes,0.417,0.583
Marco Rubio,Feb. 8,Nomination of Jeff Sessions to be attorney general (52-47),support,Yes,0.41,0.59
Marco Rubio,Feb. 7,Nomination of Betsy DeVos to be secretary of education (51-50),support,Yes,0.374,0.626
Marco Rubio,Feb. 3,Repeal of a rule requiring energy companies to disclose payments to foreign governments (52-47),support,Yes,0.407,0.593
Marco Rubio,Feb. 2,Repeal of the stream protection rule (54-45),support,Yes,0.432,0.568
Marco Rubio,Feb. 1,Nomination of Rex W. Tillerson to be secretary of state (56-43),support,Yes,0.473,0.527
Marco Rubio,Jan. 31,Nomination of Elaine L. Chao to be secretary of transportation (93-6),support,Yes,0.984,0.016
Marco Rubio,Jan. 24,Nomination of Nikki R. Haley to be ambassador to the United Nations (96-4),support,Yes,0.972,0.028
Marco Rubio,Jan. 23,Nomination of Mike Pompeo to be director of the CIA (66-32),support,Yes,0.666,0.334
Marco Rubio,Jan. 20,Nomination of John F. Kelly to be secretary of homeland security (88-11),support,Yes,0.933,0.067
Marco Rubio,Jan. 20,Nomination of James Mattis to be secretary of defense (98-1),support,Yes,0.998,0.002
Marco Rubio,Jan. 12,Waiver allowing James Mattis to become secretary of defense (81-17),support,Yes,0.874,0.126
Marco Rubio,Jan. 12,Budget resolution to repeal the Affordable Care Act (51-48),support,Yes,0.398,0.602
Susan M. Collins,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.872,0.128
Susan M. Collins,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.303,0.697
Susan M. Collins,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.29,0.71
Susan M. Collins,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.343,0.657
Susan M. Collins,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.303,0.697
Susan M. Collins,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.291,0.709
Susan M. Collins,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.477,0.523
Susan M. Collins,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.348,0.652
Susan M. Collins,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.644,0.356
Susan M. Collins,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.68,0.32
Susan M. Collins,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,No,0.237,-0.237
Susan M. Collins,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.295,0.705
Susan M. Collins,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.302,0.698
Susan M. Collins,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.83,0.17
Susan M. Collins,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
Susan M. Collins,Feb. 13,Nomination of Steven T. Mnuchin to be secretary of the treasury (53-47),support,Yes,0.295,0.705
Susan M. Collins,Feb. 10,Nomination of Tom Price to be secretary of health and human services (52-47),support,Yes,0.317,0.683
Susan M. Collins,Feb. 8,Nomination of Jeff Sessions to be attorney general (52-47),support,Yes,0.295,0.705
Susan M. Collins,Feb. 7,Nomination of Betsy DeVos to be secretary of education (51-50),support,No,0.281,-0.281
Susan M. Collins,Feb. 3,Repeal of a rule requiring energy companies to disclose payments to foreign governments (52-47),support,Yes,0.312,0.688
Susan M. Collins,Feb. 2,Repeal of the stream protection rule (54-45),support,No,0.242,-0.242
Susan M. Collins,Feb. 1,Nomination of Rex W. Tillerson to be secretary of state (56-43),support,Yes,0.334,0.666
Susan M. Collins,Jan. 31,Nomination of Elaine L. Chao to be secretary of transportation (93-6),support,Yes,0.972,0.028
Susan M. Collins,Jan. 24,Nomination of Nikki R. Haley to be ambassador to the United Nations (96-4),support,Yes,0.963,0.037
Susan M. Collins,Jan. 23,Nomination of Mike Pompeo to be director of the CIA (66-32),support,Yes,0.587,0.413
Susan M. Collins,Jan. 20,Nomination of John F. Kelly to be secretary of homeland security (88-11),support,Yes,0.905,0.095
Susan M. Collins,Jan. 20,Nomination of James Mattis to be secretary of defense (98-1),support,Yes,0.997,0.003
Susan M. Collins,Jan. 12,Waiver allowing James Mattis to become secretary of defense (81-17),support,Yes,0.829,0.171
Susan M. Collins,Jan. 12,Budget resolution to repeal the Affordable Care Act (51-48),support,Yes,0.31,0.69
Richard Burr,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.913,0.087
Richard Burr,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.458,0.542
Richard Burr,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.443,0.557
Richard Burr,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.762,0.238
Richard Burr,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.458,0.542
Richard Burr,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.445,0.555
Richard Burr,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.773,0.227
Richard Burr,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.66,0.34
Richard Burr,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.862,0.138
Richard Burr,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.798,0.202
Richard Burr,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,Yes,0.502,0.498
Richard Burr,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.45,0.55
Richard Burr,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.613,0.387
Richard Burr,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.915,0.085
Richard Burr,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
Richard Burr,Feb. 13,Nomination of Steven T. Mnuchin to be secretary of the treasury (53-47),support,Yes,0.484,0.516
Richard Burr,Feb. 10,Nomination of Tom Price to be secretary of health and human services (52-47),support,Yes,0.479,0.521
Richard Burr,Feb. 8,Nomination of Jeff Sessions to be attorney general (52-47),support,Yes,0.483,0.517
Richard Burr,Feb. 7,Nomination of Betsy DeVos to be secretary of education (51-50),support,Yes,0.433,0.567
Richard Burr,Feb. 3,Repeal of a rule requiring energy companies to disclose payments to foreign governments (52-47),support,Yes,0.467,0.533
Richard Burr,Feb. 2,Repeal of the stream protection rule (54-45),support,Yes,0.557,0.443
Richard Burr,Feb. 1,Nomination of Rex W. Tillerson to be secretary of state (56-43),support,Yes,0.558,0.442
Richard Burr,Jan. 31,Nomination of Elaine L. Chao to be secretary of transportation (93-6),support,Yes,0.989,0.011
Richard Burr,Jan. 24,Nomination of Nikki R. Haley to be ambassador to the United Nations (96-4),support,Yes,0.976,0.024
Richard Burr,Jan. 23,Nomination of Mike Pompeo to be director of the CIA (66-32),support,Yes,0.709,0.291
Richard Burr,Jan. 20,Nomination of John F. Kelly to be secretary of homeland security (88-11),support,Yes,0.947,0.053
Richard Burr,Jan. 20,Nomination of James Mattis to be secretary of defense (98-1),support,Yes,0.999,0.001
Richard Burr,Jan. 12,Waiver allowing James Mattis to become secretary of defense (81-17),support,Yes,0.896,0.104
Richard Burr,Jan. 12,Budget resolution to repeal the Affordable Care Act (51-48),support,Yes,0.454,0.546
Thom Tillis,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.913,0.087
Thom Tillis,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.458,0.542
Thom Tillis,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.443,0.557
Thom Tillis,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.762,0.238
Thom Tillis,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.458,0.542
Thom Tillis,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.445,0.555
Thom Tillis,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.773,0.227
Thom Tillis,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.66,0.34
Thom Tillis,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.862,0.138
Thom Tillis,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.798,0.202
Thom Tillis,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,Yes,0.502,0.498
Thom Tillis,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.45,0.55
Thom Tillis,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.613,0.387
Thom Tillis,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.915,0.085
Thom Tillis,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
Thom Tillis,Feb. 13,Nomination of Steven T. Mnuchin to be secretary of the treasury (53-47),support,Yes,0.484,0.516
Thom Tillis,Feb. 10,Nomination of Tom Price to be secretary of health and human services (52-47),support,Yes,0.479,0.521
Thom Tillis,Feb. 8,Nomination of Jeff Sessions to be attorney general (52-47),support,Yes,0.483,0.517
Thom Tillis,Feb. 7,Nomination of Betsy DeVos to be secretary of education (51-50),support,Yes,0.433,0.567
Thom Tillis,Feb. 3,Repeal of a rule requiring energy companies to disclose payments to foreign governments (52-47),support,Yes,0.467,0.533
Thom Tillis,Feb. 2,Repeal of the stream protection rule (54-45),support,Yes,0.557,0.443
Thom Tillis,Feb. 1,Nomination of Rex W. Tillerson to be secretary of state (56-43),support,Yes,0.558,0.442
Thom Tillis,Jan. 31,Nomination of Elaine L. Chao to be secretary of transportation (93-6),support,Yes,0.989,0.011
Thom Tillis,Jan. 24,Nomination of Nikki R. Haley to be ambassador to the United Nations (96-4),support,Yes,0.976,0.024
Thom Tillis,Jan. 23,Nomination of Mike Pompeo to be director of the CIA (66-32),support,Yes,0.709,0.291
Thom Tillis,Jan. 20,Nomination of John F. Kelly to be secretary of homeland security (88-11),support,Yes,0.947,0.053
Thom Tillis,Jan. 20,Nomination of James Mattis to be secretary of defense (98-1),support,Yes,0.999,0.001
Thom Tillis,Jan. 12,Waiver allowing James Mattis to become secretary of defense (81-17),support,Yes,0.896,0.104
Thom Tillis,Jan. 12,Budget resolution to repeal the Affordable Care Act (51-48),support,Yes,0.454,0.546
Jeff Flake,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.913,0.087
Jeff Flake,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.456,0.544
Jeff Flake,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.44,0.56
Jeff Flake,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.756,0.244
Jeff Flake,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.456,0.544
Jeff Flake,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Not voting,0.442,NA
Jeff Flake,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.769,0.231
Jeff Flake,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.655,0.345
Jeff Flake,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.86,0.14
Jeff Flake,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.796,0.204
Jeff Flake,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,Yes,0.497,0.503
Jeff Flake,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.447,0.553
Jeff Flake,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.608,0.392
Jeff Flake,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.914,0.086
Jeff Flake,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
