name,chamber,party,state,district,trump_score,trump_margin,predicted_score,trump_plus_minus
Fred Upton,House, R, MI,6,1.0,0.084,0.871,0.129
Thomas MacArthur,House, R, NJ,3,0.955,0.062,0.829,0.126
Michael T. McCaul,House, R, TX,10,1.0,0.091,0.883,0.117
Ted Poe,House, R, TX,2,1.0,0.093,0.885,0.115
Ted Budd,House, R, NC,13,1.0,0.094,0.887,0.113
Devin Nunes,House, R, CA,22,1.0,0.095,0.89,0.11
George Holding,House, R, NC,2,1.0,0.096,0.891,0.109
Dennis A. Ross,House, R, FL,15,1.0,0.1,0.897,0.103
David Schweikert,House, R, AZ,6,1.0,0.1,0.897,0.103
Lamar Smith,House, R, TX,21,1.0,0.1,0.897,0.103
Jaime Herrera Beutler,House, R, WA,3,0.955,0.074,0.853,0.102
Stevan Pearce,House, R, NM,2,1.0,0.102,0.899,0.101
Brian K. Fitzpatrick,House, R, PA,8,0.773,0.002,0.673,0.1
Ann Wagner,House, R, MO,2,1.0,0.103,0.901,0.099
Vern Buchanan,House, R, FL,16,1.0,0.107,0.906,0.094
J. French Hill,House, R, AR,2,1.0,0.107,0.906,0.094
Thomas A. Garrett Jr.,House, R, VA,5,1.0,0.111,0.912,0.088
Patrick J. Tiberi,House, R, OH,12,1.0,0.113,0.914,0.086
David P. Joyce,House, R, OH,14,1.0,0.115,0.917,0.083
Robert Pittenger,House, R, NC,9,1.0,0.116,0.92,0.08
Susan W. Brooks,House, R, IN,5,1.0,0.118,0.92,0.08
Ken Calvert,House, R, CA,42,1.0,0.12,0.923,0.077
Scott R. Tipton,House, R, CO,3,1.0,0.12,0.923,0.077
Mark E. Amodei,House, R, NV,2,1.0,0.123,0.925,0.075
Joe Barton,House, R, TX,6,1.0,0.123,0.925,0.075
Lee M. Zeldin,House, R, NY,1,1.0,0.123,0.926,0.074
Robert J. Wittman,House, R, VA,1,1.0,0.124,0.928,0.072
Brian J. Mast,House, R, FL,18,0.955,0.092,0.884,0.07
Albio Sires,House, D, NJ,8,0.105,-0.542,0.035,0.07
John R. Carter,House, R, TX,31,1.0,0.127,0.931,0.069
Donald S. Beyer Jr.,House, D, VA,8,0.1,-0.526,0.035,0.065
Cathy McMorris Rodgers,House, R, WA,5,1.0,0.131,0.935,0.065
Gene Green,House, D, TX,29,0.1,-0.457,0.037,0.063
Jim Cooper,House, D, TN,5,0.227,-0.184,0.165,0.063
Steve Russell,House, R, OK,5,1.0,0.134,0.938,0.062
Anna G. Eshoo,House, D, CA,18,0.091,-0.532,0.031,0.06
David Scott,House, D, GA,13,0.1,-0.444,0.041,0.059
Chris Stewart,House, R, UT,2,1.0,0.14,0.941,0.059
John J. Faso,House, R, NY,19,0.909,0.073,0.851,0.058
Jimmy Panetta,House, D, CA,20,0.091,-0.472,0.035,0.056
Sam Johnson,House, R, TX,3,1.0,0.142,0.945,0.055
Bruce Poliquin,House, R, ME,2,0.955,0.103,0.901,0.054
Brad Sherman,House, D, CA,30,0.091,-0.434,0.038,0.053
Charles W. Dent,House, R, PA,15,0.909,0.076,0.857,0.052
Mark Walker,House, R, NC,6,1.0,0.147,0.949,0.051
Bobby L. Rush,House, D, IL,1,0.143,-0.54,0.093,0.05
Mike Bost,House, R, IL,12,1.0,0.148,0.95,0.05
Beto O'Rourke,House, D, TX,16,0.091,-0.407,0.041,0.05
Tom Reed,House, R, NY,23,1.0,0.148,0.951,0.049
Roger Williams,House, R, TX,25,1.0,0.149,0.951,0.049
Duncan Hunter,House, R, CA,50,1.0,0.15,0.952,0.048
Gerald E. Connolly,House, D, VA,11,0.091,-0.394,0.043,0.048
Paul Cook,House, R, CA,8,1.0,0.151,0.953,0.047
Andy Barr,House, R, KY,6,1.0,0.153,0.954,0.046
"Earl L. ""Buddy"" Carter",House, R, GA,1,1.0,0.155,0.954,0.046
Steve Stivers,House, R, OH,15,1.0,0.154,0.955,0.045
Richard Hudson,House, R, NC,8,1.0,0.15,0.955,0.045
Claudia Tenney,House, R, NY,22,1.0,0.155,0.956,0.044
Ted S. Yoho,House, R, FL,3,1.0,0.16,0.959,0.041
Brad R. Wenstrup,House, R, OH,2,1.0,0.161,0.96,0.04
Rick W. Allen,House, R, GA,12,1.0,0.162,0.96,0.04
James B. Renacci,House, R, OH,16,1.0,0.166,0.963,0.037
Glenn Grothman,House, R, WI,6,1.0,0.169,0.965,0.035
Ron DeSantis,House, R, FL,6,1.0,0.17,0.965,0.035
Tim Walberg,House, R, MI,7,1.0,0.17,0.965,0.035
Tulsi Gabbard,House, D, HI,2,0.095,-0.318,0.061,0.034
Adam Kinzinger,House, R, IL,16,1.0,0.172,0.967,0.033
Bill Flores,House, R, TX,17,1.0,0.175,0.968,0.032
Virginia Foxx,House, R, NC,5,1.0,0.175,0.968,0.032
Mike Gallagher,House, R, WI,8,1.0,0.176,0.969,0.031
Bill Huizenga,House, R, MI,2,1.0,0.176,0.969,0.031
David Rouzer,House, R, NC,7,1.0,0.177,0.969,0.031
Joe Wilson,House, R, SC,2,1.0,0.177,0.969,0.031
Bill Pascrell Jr.,House, D, NJ,9,0.091,-0.312,0.061,0.03
Dwight Evans,House, D, PA,2,0.048,-0.828,0.019,0.029
Lynn Jenkins,House, R, KS,2,1.0,0.184,0.972,0.028
Nancy Pelosi,House, D, CA,12,0.05,-0.775,0.022,0.028
Gregory W. Meeks,House, D, NY,5,0.053,-0.73,0.026,0.027
Gus M. Bilirakis,House, R, FL,12,1.0,0.186,0.974,0.026
Frank A. LoBiondo,House, R, NJ,2,0.818,0.046,0.793,0.025
Tom Rice,House, R, SC,7,1.0,0.189,0.975,0.025
Donald M. Payne Jr.,House, D, NJ,10,0.048,-0.724,0.023,0.024
Luis V. Gutiérrez,House, D, IL,4,0.05,-0.689,0.026,0.024
Frederica S. Wilson,House, D, FL,24,0.05,-0.677,0.027,0.023
Scott H. Peters,House, D, CA,52,0.136,-0.225,0.113,0.023
Hakeem S. Jeffries,House, D, NY,8,0.045,-0.711,0.023,0.023
Nanette Diaz Barragán,House, D, CA,44,0.045,-0.707,0.023,0.022
Doug LaMalfa,House, R, CA,1,1.0,0.197,0.978,0.022
Tim Murphy,House, R, PA,18,1.0,0.196,0.978,0.022
Lucille Roybal-Allard,House, D, CA,40,0.045,-0.694,0.024,0.022
Eddie Bernice Johnson,House, D, TX,30,0.053,-0.608,0.031,0.021
Randy K. Weber Sr.,House, R, TX,14,1.0,0.198,0.979,0.021
Peter T. King,House, R, NY,2,0.905,0.091,0.884,0.021
Jerrold Nadler,House, D, NY,10,0.053,-0.595,0.032,0.02
F. James Sensenbrenner Jr.,House, R, WI,5,1.0,0.201,0.98,0.02
Greg Walden,House, R, OR,2,1.0,0.201,0.98,0.02
Marcia L. Fudge,House, D, OH,11,0.045,-0.635,0.026,0.019
Sean P. Duffy,House, R, WI,7,1.0,0.205,0.981,0.019
Robert A. Brady,House, D, PA,1,0.045,-0.613,0.027,0.018
Al Green,House, D, TX,9,0.045,-0.613,0.027,0.018
Bill Posey,House, R, FL,8,1.0,0.207,0.982,0.018
Tony Cárdenas,House, D, CA,29,0.045,-0.609,0.027,0.018
Brenda L. Lawrence,House, D, MI,14,0.045,-0.609,0.027,0.018
Keith J. Rothfus,House, R, PA,12,1.0,0.208,0.982,0.018
Wm. Lacy Clay,House, D, MO,1,0.048,-0.582,0.03,0.018
Robin L. Kelly,House, D, IL,2,0.045,-0.589,0.028,0.017
Anthony G. Brown,House, D, MD,4,0.045,-0.585,0.028,0.017
Trent Franks,House, R, AZ,8,1.0,0.211,0.983,0.017
Sheila Jackson Lee,House, D, TX,18,0.048,-0.565,0.031,0.017
Joseph Crowley,House, D, NY,14,0.045,-0.579,0.029,0.017
Steve Cohen,House, D, TN,9,0.045,-0.577,0.029,0.017
Jack Bergman,House, R, MI,1,1.0,0.213,0.984,0.016
Jeff Fortenberry,House, R, NE,1,1.0,0.213,0.984,0.016
Scott Perry,House, R, PA,4,1.0,0.215,0.984,0.016
Daniel M. Donovan Jr.,House, R, NY,11,0.909,0.098,0.894,0.015
Elijah E. Cummings,House, D, MD,7,0.045,-0.55,0.03,0.015
Hank Johnson Jr.,House, D, GA,4,0.048,-0.531,0.033,0.015
Eliot L. Engel,House, D, NY,16,0.048,-0.526,0.033,0.015
Kevin McCarthy,House, R, CA,23,1.0,0.22,0.986,0.014
Francis Rooney,House, R, FL,19,1.0,0.221,0.986,0.014
Dan Newhouse,House, R, WA,4,1.0,0.228,0.988,0.012
Ruben Gallego,House, D, AZ,7,0.048,-0.492,0.035,0.012
Adam B. Schiff,House, D, CA,28,0.045,-0.498,0.033,0.012
Elise M. Stefanik,House, R, NY,21,0.955,0.139,0.942,0.012
Adam Smith,House, D, WA,9,0.053,-0.472,0.041,0.012
Ken Buck,House, R, CO,4,1.0,0.231,0.988,0.012
Marc A. Veasey,House, D, TX,33,0.045,-0.492,0.034,0.012
Juan Vargas,House, D, CA,51,0.045,-0.49,0.034,0.012
Jackie Walorski,House, R, IN,2,1.0,0.232,0.988,0.012
Blake Farenthold,House, R, TX,27,1.0,0.236,0.989,0.011
Lou Barletta,House, R, PA,11,1.0,0.238,0.99,0.01
Jason Chaffetz,House, R, UT,3,1.0,0.239,0.99,0.01
Joaquin Castro,House, D, TX,20,0.091,-0.267,0.081,0.01
Mike Johnson,House, R, LA,4,1.0,0.24,0.99,0.01
Doug Lamborn,House, R, CO,5,1.0,0.24,0.99,0.01
Mike Quigley,House, D, IL,5,0.045,-0.466,0.036,0.01
Gregg Harper,House, R, MS,3,1.0,0.245,0.991,0.009
Patrick T. McHenry,House, R, NC,10,1.0,0.245,0.991,0.009
Chris Collins,House, R, NY,27,1.0,0.245,0.991,0.009
Eric Swalwell,House, D, CA,15,0.045,-0.457,0.036,0.009
Michael K. Simpson,House, R, ID,2,1.0,0.247,0.991,0.009
Bob Goodlatte,House, R, VA,6,1.0,0.248,0.991,0.009
John R. Moolenaar,House, R, MI,4,1.0,0.248,0.991,0.009
Mike Thompson,House, D, CA,5,0.045,-0.449,0.037,0.008
Doris O. Matsui,House, D, CA,6,0.045,-0.448,0.037,0.008
Barry Loudermilk,House, R, GA,11,1.0,0.25,0.992,0.008
Robert E. Latta,House, R, OH,5,1.0,0.251,0.992,0.008
Jody B. Hice,House, R, GA,10,1.0,0.255,0.992,0.008
Tom Emmer,House, R, MN,6,1.0,0.257,0.993,0.007
Trey Gowdy,House, R, SC,4,1.0,0.257,0.993,0.007
Filemon Vela,House, D, TX,34,0.095,-0.215,0.088,0.007
Mike Kelly,House, R, PA,3,1.0,0.261,0.993,0.007
Michael C. Burgess,House, R, TX,26,1.0,0.265,0.994,0.006
Trey Hollingsworth,House, R, IN,9,1.0,0.269,0.994,0.006
Steve King,House, R, IA,4,1.0,0.274,0.994,0.006
Thomas J. Rooney,House, R, FL,17,1.0,0.272,0.994,0.006
Darin LaHood,House, R, IL,18,1.0,0.273,0.994,0.006
James E. Clyburn,House, D, SC,6,0.05,-0.365,0.045,0.005
Rob Bishop,House, R, UT,1,1.0,0.273,0.995,0.005
Tom McClintock,House, R, CA,4,0.955,0.147,0.949,0.005
Ted Lieu,House, D, CA,33,0.048,-0.413,0.042,0.005
Terri A. Sewell,House, D, AL,7,0.045,-0.412,0.041,0.005
Andy Harris,House, R, MD,1,1.0,0.284,0.995,0.005
Jeb Hensarling,House, R, TX,5,1.0,0.284,0.995,0.005
Norma J. Torres,House, D, CA,35,0.048,-0.408,0.043,0.005
Jim Bridenstine,House, R, OK,1,1.0,0.287,0.996,0.004
John H. Rutherford,House, R, FL,4,1.0,0.28,0.996,0.004
Glenn Thompson,House, R, PA,5,1.0,0.288,0.996,0.004
Austin Scott,House, R, GA,8,1.0,0.289,0.996,0.004
Ralph Lee Abraham,House, R, LA,5,1.0,0.294,0.996,0.004
Bradley Byrne,House, R, AL,1,1.0,0.294,0.996,0.004
Mark Meadows,House, R, NC,11,1.0,0.294,0.996,0.004
Bob Gibbs,House, R, OH,7,1.0,0.297,0.996,0.004
Kristi L. Noem,House, R, SD,AL,1.0,0.298,0.996,0.004
Alma S. Adams,House, D, NC,12,0.045,-0.4,0.042,0.003
David E. Price,House, D, NC,4,0.045,-0.4,0.042,0.003
Kay Granger,House, R, TX,12,1.0,0.302,0.997,0.003
Linda T. Sánchez,House, D, CA,38,0.045,-0.396,0.043,0.003
Sam Graves,House, R, MO,6,1.0,0.314,0.997,0.003
Steve Womack,House, R, AR,3,1.0,0.314,0.997,0.003
A. Drew Ferguson IV,House, R, GA,3,1.0,0.315,0.997,0.003
Martha Roby,House, R, AL,2,1.0,0.319,0.998,0.002
Daniel Webster,House, R, FL,11,1.0,0.323,0.998,0.002
Paul Mitchell,House, R, MI,10,1.0,0.322,0.998,0.002
Bruce Westerman,House, R, AR,4,1.0,0.329,0.998,0.002
Trent Kelly,House, R, MS,1,1.0,0.33,0.998,0.002
Mike Rogers,House, R, AL,3,1.0,0.33,0.998,0.002
Mo Brooks,House, R, AL,5,1.0,0.334,0.998,0.002
Larry Bucshon,House, R, IN,8,1.0,0.337,0.998,0.002
Garret Graves,House, R, LA,6,1.0,0.338,0.998,0.002
Jim Jordan,House, R, OH,4,1.0,0.336,0.998,0.002
Todd Rokita,House, R, IN,4,1.0,0.341,0.998,0.002
Warren Davidson,House, R, OH,8,1.0,0.345,0.998,0.002
Rick Crawford ,House, R, AR,1,1.0,0.348,0.999,0.001
Jim Banks,House, R, IN,3,1.0,0.35,0.999,0.001
Chuck Fleischmann ,House, R, TN,3,1.0,0.352,0.999,0.001
Kevin Cramer,House, R, ND,AL,1.0,0.357,0.999,0.001
Neal P. Dunn,House, R, FL,2,1.0,0.356,0.999,0.001
David Kustoff,House, R, TN,8,1.0,0.356,0.999,0.001
Vicky Hartzler,House, R, MO,4,1.0,0.36,0.999,0.001
Tom Marino,House, R, PA,10,1.0,0.359,0.999,0.001
Alexander X. Mooney,House, R, WV,2,1.0,0.364,0.999,0.001
Joyce Beatty,House, D, OH,3,0.045,-0.384,0.044,0.001
Tom Cole,House, R, OK,4,1.0,0.374,0.999,0.001
Jeff Duncan,House, R, SC,3,1.0,0.38,0.999,0.001
Clay Higgins,House, R, LA,3,1.0,0.381,0.999,0.001
Blaine Luetkemeyer,House, R, MO,3,1.0,0.39,0.999,0.001
Marsha Blackburn,House, R, TN,7,1.0,0.393,0.999,0.001
Paul A. Gosar,House, R, AZ,4,1.0,0.402,0.999,0.001
Brett Guthrie,House, R, KY,2,1.0,0.399,0.999,0.001
Luke Messer,House, R, IN,6,1.0,0.403,0.999,0.001
Steven M. Palazzo,House, R, MS,4,1.0,0.412,0.999,0.001
Scott DesJarlais,House, R, TN,4,1.0,0.412,0.999,0.001
H. Morgan Griffith,House, R, VA,9,1.0,0.415,0.999,0.001
David B. McKinley,House, R, WV,1,1.0,0.416,0.999,0.001
Steve Scalise,House, R, LA,1,1.0,0.42,0.999,0.001
Bill Shuster,House, R, PA,9,1.0,0.425,1.0,0.0
Bill Johnson,House, R, OH,6,1.0,0.426,1.0,0.0
Gary J. Palmer,House, R, AL,6,1.0,0.447,1.0,0.0
Roger W. Marshall,House, R, KS,1,1.0,0.45,1.0,0.0
Billy Long,House, R, MO,7,1.0,0.457,1.0,0.0
John Shimkus,House, R, IL,15,1.0,0.462,1.0,0.0
Liz Cheney,House, R, WY,AL,1.0,0.463,1.0,0.0
Brian Babin,House, R, TX,36,1.0,0.468,1.0,0.0
James Comer,House, R, KY,1,1.0,0.485,1.0,0.0
Kevin Brady,House, R, TX,8,1.0,0.488,1.0,0.0
Diane Black,House, R, TN,6,1.0,0.489,1.0,0.0
Jodey C. Arrington,House, R, TX,19,1.0,0.49,1.0,0.0
Evan H. Jenkins,House, R, WV,3,1.0,0.492,1.0,0.0
Markwayne Mullin,House, R, OK,2,1.0,0.501,1.0,0.0
Frank D. Lucas,House, R, OK,3,1.0,0.527,1.0,0.0
Tom Graves,House, R, GA,14,1.0,0.529,1.0,0.0
John Ratcliffe,House, R, TX,4,1.0,0.536,1.0,0.0
Jason Smith,House, R, MO,8,1.0,0.544,1.0,0.0
Adrian Smith,House, R, NE,3,1.0,0.549,1.0,0.0
David P. Roe,House, R, TN,1,1.0,0.57,1.0,0.0
Doug Collins,House, R, GA,9,1.0,0.585,1.0,0.0
K. Michael Conaway,House, R, TX,11,1.0,0.587,1.0,0.0
Harold Rogers,House, R, KY,5,1.0,0.621,1.0,0.0
Robert B. Aderholt,House, R, AL,4,1.0,0.63,1.0,0.0
Mac Thornberry,House, R, TX,13,1.0,0.63,1.0,0.0
Karen Bass,House, D, CA,37,0.0,-0.761,0.0,0.0
G. K. Butterfield,House, D, NC,1,0.048,-0.37,0.049,-0.001
Ro Khanna,House, D, CA,17,0.0,-0.534,0.001,-0.001
Cedric L. Richmond,House, D, LA,2,0.0,-0.524,0.002,-0.002
Michael F. Doyle,House, D, PA,14,0.045,-0.359,0.049,-0.003
C. A. Dutch Ruppersberger,House, D, MD,2,0.091,-0.246,0.095,-0.004
